item_id,correct,notes,title,card_name,card_key,player,year,set_name,card_number,parallel,grade,confidence,price,image_url,listing
167069758086,,,#33 Aaron Donald 2023 Panini Luminance #/150 Blue,2023 Luminance Aaron Donald #33 Blue /150,2023-luminance-n33-blue,Aaron Donald,2023,Luminance,33,Blue,Raw,0.95,11.99,https://i.ebayimg.com/images/g/FXoAAOSwIW5nK8v0/s-l500.webp,https://www.ebay.com/itm/167069758086
178420564730,,,1996 Pacific #Z-19 Jerry Rice The Zone,1996 Pacific Jerry Rice #Z-19,1996-pacific-nz-19,Jerry Rice,1996,Pacific,Z-19,,Raw,0.95,16.0,https://i.ebayimg.com/images/g/zwYAAeSw69pqhKly/s-l500.webp,https://www.ebay.com/itm/178420564730
147512871146,,,2025 Impeccable Kyle Williams Elegance Helmet Cleat Rookie Patch Auto RC /25,2025 Impeccable Rookie Patch Kyle Williams /25 Auto Patch,2025-impeccable-rookie-patch-kylewilliams-auto-patch,Kyle Williams,2025,Impeccable,,,Raw,0.85,33.0,https://i.ebayimg.com/images/g/V8IAAeSwJOFplcs2/s-l500.webp,https://www.ebay.com/itm/147512871146
168603756084,,,2001 Fleer Legacy LaDainian Tomlinson RC /999 #99 PSA 10,2001 Legacy LaDainian Tomlinson #99 Base /999,2001-legacy-n99,LaDainian Tomlinson,2001,Legacy,99,,PSA 10,1.0,605.0,https://i.ebayimg.com/images/g/gIoAAeSwseNqeirG/s-l500.webp,https://www.ebay.com/itm/168603756084
318770461159,,,2025 Topps Finest - Rare Ashton Jeanty #207 RC Rookie,2025 Finest Ashton Jeanty #207 Base,2025-finest-n207,Ashton Jeanty,2025,Finest,207,,Raw,0.95,2.0,https://i.ebayimg.com/images/g/FgMAAeSw-wlqgm~K/s-l500.webp,https://www.ebay.com/itm/318770461159
127918948375,,,SEAVER KING 2026 BOWMAN CHROME MEGA MOJO AUTO REFRACTOR # BMA-SKI,2026 Bowman Chrome Seaver King Mega Bma-Ski Mojo Refractor Auto,2026-bowman-chrome-seaverkingmegabmaski-mojo-refractor-auto,Seaver King Mega Bma-Ski,2026,Bowman Chrome,,Mojo Refractor,Raw,0.75,15.0,https://i.ebayimg.com/images/g/QdMAAeSwYN1qLG4D/s-l500.webp,https://www.ebay.com/itm/127918948375
137577631681,,,Zach Gentry 2019 Panini Contenders Optic Purple Pulsar Auto /21 #156 Pittsburgh,2019 Contenders Optic Purple Pulsar Zach Gentry Pittsburgh #156 /21 Auto,2019-contenders-optic-n156-auto,Zach Gentry Pittsburgh,2019,Contenders Optic,156,,Raw,0.85,15.75,https://i.ebayimg.com/images/g/uvwAAeSwrFJqbynD/s-l500.webp,https://www.ebay.com/itm/137577631681
158199764023,,,Malcolm Kelly 2008 Bowman Sterling #162 RC Patch Auto,2008 Bowman Sterling Patch Malcolm Kelly #162 Auto Patch,2008-bowman-sterling-n162-auto-patch,Malcolm Kelly,2008,Bowman Sterling,162,,Raw,0.85,1.0,https://i.ebayimg.com/images/g/hNkAAeSwKVxqg3Nj/s-l500.webp,https://www.ebay.com/itm/158199764023
377401288489,,,2023 CONTENDERS AUTO-CONFERENCE TICKET #109 DE'VON ACHANE /75 Sealed! Dolphins,2023 Contenders De'Von Achane #109 /75 Auto,2023-contenders-n109-auto,De'Von Achane,2023,Contenders,109,,Raw,0.95,49.0,https://i.ebayimg.com/images/g/7FgAAeSwJtNqddFK/s-l500.webp,https://www.ebay.com/itm/377401288489
188830468529,,,"2024 Panini Donruss Optic - Best Tuddys Joe Burrow, Ja'Marr Chase #14 Dragon /24",2024 Donruss Optic Tuddys Ja'Marr Chase / Jamarr Chase / Ja’Marr Chase / Joe Burrow #14 /24,2024-donruss-optic-tuddys-n14,Ja'Marr Chase / Jamarr Chase / Ja’Marr Chase / Joe Burrow,2024,Donruss Optic,14,,Raw,0.95,75.0,https://i.ebayimg.com/images/g/qRgAAeSwehZqim2j/s-l500.webp,https://www.ebay.com/itm/188830468529
